sainagar,chennai,668779,ramachandran,shankar,ram@gmail.com,1996-08-14
vallalarnagar,salem,877979,ajith,sekar,ajith@gmail.com,1995-02-17
karunaistreet,vellore,748868,durai,raj,durai@gmail.com,1958-07-15
chandranagar,trichy,676868,ganesh,chandran,gan@gmail.com,1887-06-18
faraznagar,chennai,667645,jai,ravi,jai@gmail.com,1767-04-04
kannanstreet,kovai,682697,praveen,sabari,praveen@gmail.com,1552-06-27
tanishnagar,chennai,576988,harish,gopi,hari@gmail.com,1975-08-06
pawannagar,chittur,857568,vignesh,tharma,vig@gmail.com,1716-04-03
gurustreet,erode,681686,giri,dharan,giri@gmail.com,1664-04-14
laxstreet,kanchi,586899,samuel,praveen,sam@gmail.com,1865-06-12
